Version,Timestamp,DetectedObjects,ViolatingObjects,EnvironmentScore,Detections,ViolationsIndexes
1.0,2022-06-01 10:00:03,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [436.31378173828125, 162.09970951080322, 631.1199951171875, 411.91429138183594], 'bbox': [0.6817403, 0.33770773, 0.986125, 0.8581548], 'tracking_id': 48}]",[]
1.0,2022-06-01 10:00:04,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [436.1277389526367, 167.0780897140503, 630.357551574707, 438.8594627380371], 'bbox': [0.6814496, 0.34807935, 0.9849337, 0.91429055], 'tracking_id': 48}]",[]
1.0,2022-06-01 10:00:04,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [428.5823440551758, 172.36191272735596, 614.2964553833008, 421.9248962402344], 'bbox': [0.6696599, 0.35908732, 0.9598382, 0.8790102], 'tracking_id': 48}]",[]
1.0,2022-06-01 10:00:05,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [424.2086410522461, 170.7253074645996, 612.8960037231445, 420.3057289123535], 'bbox': [0.662826, 0.35567772, 0.95765, 0.87563694], 'tracking_id': 48}]",[]
1.0,2022-06-01 10:00:05,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [423.8498306274414, 166.22926712036133, 616.5509414672852, 426.8180465698242], 'bbox': [0.66226536, 0.34631097, 0.96336085, 0.88920426], 'tracking_id': 48}]",[]
1.0,2022-06-01 10:00:06,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [421.5220260620117, 162.70731925964355, 618.2981491088867, 414.094820022583], 'bbox': [0.65862817, 0.33897358, 0.96609086, 0.86269754], 'tracking_id': 48}]",[]
1.0,2022-06-01 10:00:06,2,0,0.98,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [428.16864013671875, 159.35627460479736, 627.1600341796875, 443.59880447387695], 'bbox': [0.6690135, 0.33199224, 0.97993755, 0.9241642], 'tracking_id': 48}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [5.140523910522461, 221.48795127868652, 151.50321006774902, 464.10435676574707], 'bbox': [0.008032069, 0.46143323, 0.23672377, 0.9668841], 'tracking_id': 49}]",[]
1.0,2022-06-01 10:00:07,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [416.19884490966797, 148.63135814666748, 630.8161544799805, 435.83845138549805], 'bbox': [0.6503107, 0.30964866, 0.98565024, 0.9079968], 'tracking_id': 48}]",[]
1.0,2022-06-01 10:00:07,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [417.2351837158203, 139.1169261932373, 632.8140258789062, 425.76104164123535], 'bbox': [0.65193, 0.28982693, 0.9887719, 0.88700217], 'tracking_id': 48}]",[]
1.0,2022-06-01 10:00:08,0,0,1.0,[],[]
